baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
3.8901477403411238,3.4417215180049805,3.545707348002978,4.025106930252926,3.775812343465374,3.9088286916509563,5.412978810657333,The productivity is high., The productivity is low.
3.9307965892542804,4.005554275310195,3.849127782876588,4.062174230840564,3.6984150172500594,4.120673566503877,5.116804432422236,The snow is soft., The snow is icy.
6.3170407814159555,5.702485870432194,5.489546022748767,6.394776628086198,6.08121865160841,6.231313569196474,6.861766949017958,The season is enjoyable., The season is unpleasant.
4.951598895554527,4.844991724887576,4.1524200736652315,5.0396826149761385,6.538331642848977,6.5736698850859,6.905844258504968,The response was prompt., The response was slow.
6.345157031465026,5.684889300702172,4.780829645256679,6.305403164333766,5.8367644756677715,6.186238301440305,7.053694776253308,The innovation was transformative., The innovation was useless.
4.5070367929227535,3.9225134082929456,3.9695864062812034,4.598876783521161,3.852579461316651,4.111735218221984,4.304878363081194,The painting was beautiful., The painting was ugly.
5.510882924743401,4.761397856217519,4.564804914457387,5.43640979534892,3.592554201868377,3.958163445117693,4.239384536581021,The communication was effective., The communication was ineffective.
4.342265040723686,3.8410175591514295,3.3472744906166385,4.311302105607409,3.3675372717245855,3.4392726725273586,4.577994279240285,The outlook is bright., The outlook is bleak.
4.758591779446525,4.543985692883858,4.08605060145706,4.829662589532284,1.3635877380438,1.1021620870441597,2.4993292817208133,The bond was close., The bond was distant.
4.364619216519141,3.423955777727358,3.2057418982072514,4.438868044493035,4.805268324292482,5.010953638847838,6.5591356159523935,The environment is clean., The environment is dirty.
4.412810475455822,3.836933616556113,3.511445679127328,4.550749113975654,4.18205944424379,4.115825981541838,5.589119140024504,The feedback was constructive., The feedback was destructive.
4.75147409048813,3.9573090476964694,3.673082649070378,4.899896404999041,2.15838969609135,2.0893657605726133,3.1260684241862773,The air is fresh., The air is stale.
3.8423149809814467,3.6908214866728186,3.3176614307496965,3.9014375664997365,1.649286651954456,1.4539634737460494,4.185368314409795,The choice was excellent., The choice was poor.
3.9430341068797685,3.1376991890603727,3.2606395260727505,3.899998112324202,2.174568056367314,2.029023711575916,3.117310870413937,The customer service was excellent., The customer service was terrible.
8.168263705406433,7.293149527568838,6.6602448219414665,8.064468389763917,2.0383715707700376,1.6561845692089727,2.1560155253940705,The system was efficient., The system was inefficient.
7.315029027906802,6.9969563606505405,5.399896080446886,7.164431611773165,1.8227613296794691,1.9592518554474105,3.335321604186879,The plan is well-defined., The plan is vague.
3.714078050666637,3.2255880867089473,3.17588051589728,3.787759671370914,3.790303633807875,3.5878341784118994,3.947170019989481,The structure was stable., The structure was unstable.
7.183644105459877,6.988663263074742,6.467696344080873,7.279487737106776,6.984328377101346,7.386957456853779,7.498549015183506,The team was united., The team was divided.
5.658952847460954,5.225085863016887,4.279502630587397,5.6497303253916975,3.9573197022576263,4.243826708577776,5.767008228757258,The food is delicious., The food is tasteless.
3.6025132445342476,2.7385124077715157,2.90466722428335,3.6737313943,1.8252773511234548,1.4748301638467247,4.257118839273112,The teamwork was excellent., The teamwork was poor.
5.123218785908176,4.880643011928074,4.521635106173619,5.127266790145788,2.038457943238748,1.918809280408722,2.001347364083359,The communication was clear., The communication was unclear.
4.283088831456118,3.982455737063847,3.4196473866023545,4.217913300467056,3.8776588727927086,4.431051291673237,4.688729840161824,The contribution was substantial., The contribution was minimal.
