baseline_similarity,mean_shift_similarity,regression_similarity,Sentence1,Sentence2
0.920777800753656,0.9377377045638388,0.9342854603193749,The productivity is high., The productivity is low.
0.9164452116274274,0.9148600887827176,0.9159321476676237,The snow is soft., The snow is icy.
0.8134486960096152,0.8460587525410408,0.853251554328053,The season is enjoyable., The season is unpleasant.
0.8524316262940872,0.8598511423163656,0.8890147683443494,The response was prompt., The response was slow.
0.7452226436778346,0.7917879023815833,0.8398107819146732,The innovation was transformative., The innovation was useless.
0.8794003722851601,0.9082815790595549,0.9057905827796527,The painting was beautiful., The painting was ugly.
0.8037072062478074,0.855285942092846,0.8694138557776654,The communication was effective., The communication was ineffective.
0.8952120541245698,0.9164799432690698,0.9347397585096636,The outlook is bright., The outlook is bleak.
0.87117967215378,0.8810706490207088,0.8977576028954419,The bond was close., The bond was distant.
0.8876626194036928,0.9289966644289802,0.9373363455709041,The environment is clean., The environment is dirty.
0.8717239023160084,0.9017749236017492,0.9132434733600374,The feedback was constructive., The feedback was destructive.
0.8864878452229134,0.9206656735210305,0.9320631057914515,The air is fresh., The air is stale.
0.9061326504654104,0.9148213582366681,0.929522917804036,The choice was excellent., The choice was poor.
0.9023005105551117,0.9376505887698898,0.9315925219580012,The customer service was excellent., The customer service was terrible.
0.6429353964441891,0.7181870745286651,0.77076601191018,The system was efficient., The system was inefficient.
0.6971775759059634,0.7190777216147481,0.7978618509318682,The plan is well-defined., The plan is vague.
0.8928231734938944,0.9183263136851806,0.9180667306857486,The structure was stable., The structure was unstable.
0.6658341113305056,0.6810138872909324,0.7127343363438534,The team was united., The team was divided.
0.8347562274953306,0.8597159115131722,0.8902135623138379,The food is delicious., The food is tasteless.
0.9200501267967918,0.9532904752691764,0.9486085694458347,The teamwork was excellent., The teamwork was poor.
0.8427841285680557,0.8574110690030858,0.8728731817136051,The communication was clear., The communication was unclear.
0.8851284923185694,0.8990631264554855,0.91929888571088,The contribution was substantial., The contribution was minimal.
0.8458354660630052,0.877049125932989,0.9064369140008041,The environment is supportive., The environment is hostile.
0.8534731735918082,0.8692178575287615,0.8951233524708267,The amount is sufficient., The amount is insufficient.
0.8821139879981219,0.8851062172052752,0.888467820264212,The deadline was met., The deadline was missed.
0.8467221329581329,0.8510276751948298,0.8728764166273547,The situation is stable., The situation is volatile.
0.8150425770494005,0.8369469338759398,0.8533175580787066,The news was encouraging., The news was discouraging.
0.8305134233730518,0.8395146807109705,0.8484089314036691,The refund was processed quickly., The refund was delayed.
0.891168736983432,0.9074148311949852,0.908068070621361,The method is successful., The method is unsuccessful.
0.793954498135675,0.8022594880258858,0.8456217791841439,The improvement was remarkable., The improvement was minimal.
0.847214862593322,0.8724959003143814,0.8826284374005922,The task is achievable., The task is insurmountable.
0.9174169612852081,0.9327753562589052,0.9227325994405757,The dessert was delicious., The dessert was awful.
0.9456248788695294,0.947809591678369,0.9361689613394524,The adventure was thrilling., The adventure was terrifying.
0.9052766326075512,0.9310705821036473,0.9379520022536865,The diagnosis is accurate., The diagnosis is inaccurate.
0.9185617931010421,0.9359753059449981,0.9305476075160919,The atmosphere is positive., The atmosphere is negative.
0.7612482193006209,0.7948258326957423,0.8419982965535281,The service was impeccable., The service was terrible.
0.9340939112605801,0.9439990885668482,0.9411246035369962,The dialogue was sharp., The dialogue was flat.
0.8909800220226876,0.9133015715159039,0.9224220949841978,The consequence was beneficial., The consequence was detrimental.
0.7597989103178697,0.8066207705531722,0.8305807373306995,The approach is efficient., The approach is inefficient.
0.7945857951697521,0.7926397086605899,0.8262595593496932,The difference is considerable., The difference is inconsiderable.
0.9297058631347483,0.9377240461975096,0.9320961325392949,The task was completed successfully., The task was not completed successfully.
0.7719342702478611,0.7927368434759468,0.8262126433096679,The connection is profound., The connection is superficial.
0.9199652727577152,0.9509940591341889,0.959081972114874,The efficiency was excellent., The efficiency was poor.
0.9421858283375737,0.9688253629017471,0.9635645701551905,The product was high-quality., The product was low-quality.
