baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
0.7986954615689004,0.8272836022675407,0.8732399981309457,0.7984386469372744,0.9881731708714566,0.9810675490253788,0.9901358782564007,A celebration was held,The celebration was held.
0.8448167455594939,0.888088415162773,0.9146409561606541,0.8451193264202689,0.9220805595271304,0.9068404997337975,0.9232665142592426,A commitment was made,The commitment was made.
0.6744751768604833,0.7207980672485373,0.7712532072094344,0.6943848052144365,0.7188580632154615,0.6627965101116793,0.6905691841307688,The word was honoured,Word was honoured.
0.8404794254300605,0.8648893547983614,0.8859602062287893,0.8403764561968949,0.8577759309828481,0.8585244335988061,0.8789106178651133,The answer was clear,Answer was clear.
0.8583355127500919,0.8713018736903748,0.8563493389129779,0.847453037817408,0.7704507415368322,0.7717751142625779,0.7731149121403242,A match was played,The match was played.
0.8071357031365247,0.8484282681990134,0.873324024490862,0.8007414526454999,0.9782901603584218,0.972988515290412,0.9779302985789007,The objective was met,Objective was met.
0.882434915977089,0.9265498981833913,0.9276133456476992,0.8736522641789575,0.9124120589768647,0.8910859207928161,0.9075885148372846,The work was progressing,Work was progressing.
0.8717441591994528,0.9069238861424944,0.9222102986339871,0.8657507701537566,0.9560794698756798,0.9384392631638224,0.9556224302320404,A promise was made,The promise was made.
0.8619960298855034,0.8976029303937223,0.9211255221460964,0.8633092167665406,0.958762213633689,0.9576656890779085,0.9570542775106287,A compassion was expressed,The compassion was expressed.
0.8016817101116882,0.8460089028271074,0.8620651775987075,0.8080917764777584,0.904457510217984,0.9006756918871264,0.9086249400366229,A park was quiet,The park was quiet.
0.9010636270351298,0.9329584392080016,0.9380759117765234,0.8992069412759647,0.9331111408007051,0.9295779952458738,0.9323279887350032,A path was chosen,The path was chosen.
0.8743983155478892,0.8839720045318773,0.9024016713918093,0.8643425642710223,0.8867126317845786,0.8989465810600618,0.8561176384316733,The flowers are colorful,Flowers are colorful.
0.838172232828709,0.873272233135348,0.896310219173823,0.818547790633962,0.8902848339074336,0.8779191012465066,0.905075900785962,The speech was engaging,Speech was engaging.
0.8762465789285994,0.8986931749310401,0.9137401101212437,0.8720810498537982,0.8829860084512584,0.8661944273096972,0.8689286720321936,A difficulty was navigated,The difficulty was navigated.
0.7735689262088272,0.8380684270878354,0.8645727588248007,0.790661990263995,0.9872473419371424,0.9766975273000449,0.9908893621230984,The solution was effective,A solution was effective.
0.8021378451379181,0.8487342971984108,0.8755940748010858,0.8127908797353944,0.9829056341920144,0.9731506858278086,0.9891485618521254,A challenge was overcome,The challenge was overcome.
0.7878228843440891,0.8418532395212506,0.8812255235735473,0.7879540275704513,0.9825121464302745,0.9791451141031582,0.9897340981917724,A challenge was met,The challenge was met.
0.8117089152201721,0.8595710429079069,0.8827373317240899,0.8284129085040381,0.9890300657316516,0.9850779268073598,0.9938939636684886,A potential was unlocked,The potential was unlocked.
0.8311617026645396,0.8682630190589693,0.8809530357397863,0.7854992982065083,0.8537146037437777,0.858977904451068,0.8620089199578187,A moment was cherished,The moment was cherished.
0.8958322768463916,0.9270732453952143,0.9084819655704344,0.8958894999189342,0.8683736090831626,0.8732649064060083,0.8660025977266099,A cook stirred the pot,The cook stirred the pot.
0.7190816522473409,0.7735451384303769,0.8177939532475624,0.7226097443471182,0.8330326932276549,0.8266927835297496,0.817940865647922,A moment lingered,The moment lingered.
0.8807972293186831,0.8974865525674701,0.8917877415050893,0.8802230546138545,0.8805073744240213,0.8393996747018779,0.863429861428755,A rabbit scurried through the field,The rabbit scurried through the field.
